	NPS_common-rare	NPS_single	observed_overlap	expected_overlap_mean	expected_overlap_std	empirical_p	obs_exp	rare_dataset	common_dataset	logp	sig	lower_error	upper_error
0	3	1.5	269	282.99	13.556913365512079	0.848951248920857	0.9505636241563306	rare_neale_20153_irnt_FDR_25	GSCAN_DPW_magma	0.07111724842808269	False	0.08159265592939513	0.09850285372792655
1	3	1.5	154	147.37	9.561019820081956	0.24401652308559074	1.044988803691389	rare_neale_20016_FDR_25	GSCAN_DPW_magma	0.6125807652926627	False	0.11789006244699074	0.15223983448455658
2	3	1.5	153	138.76	11.911439879376465	0.11594793950801213	1.1026232343614875	rare_neale_4194_FDR_25	GSCAN_DPW_magma	0.9357369647340706	False	0.15879881360157933	0.22304401266597962
3	3	1.5	362	322.75	15.439802459876226	0.005508943987169081	1.1216111541440743	rare_neale_78_FDR_25	GSCAN_DPW_magma	2.25893164334406	False	0.09615030054079776	0.11604651341306083
4	3	1.5	133	157.48	11.461657820751762	0.9836528206577044	0.8445516891033783	rare_neale_C50_FDR_25	GSCAN_DPW_magma	0.0071581583551926595	False	0.10543634072754116	0.140522943918866
5	3	1.5	174	152.84	11.443530923626675	0.03222315716727731	1.1384454331326876	rare_neale_C44_FDR_25	GSCAN_DPW_magma	1.491831910435924	False	0.1456875483293938	0.19580112408411177
6	3	1.5	134	125.39	10.414312267259898	0.2041902766925099	1.0686657628200016	rare_neale_100016_FDR_25	GSCAN_DPW_magma	0.6899649423633551	False	0.14961148257078816	0.20779279451383403
7	3	1.5	181	128.03	11.510390957739013	2.0929812467847714e-06	1.4137311567601343	rare_strin_allcut_alcoholintake	GSCAN_DPW_magma	5.679234662943864	True	0.21179504042941755	0.30240261190031426
8	3	1.5	363	308.43	15.949454536127561	0.0003114596426801036	1.1769283143663067	rare_neale_20153_irnt_FDR_25	neale_20153_irnt_magma	3.5065982189785276	True	0.10830985273100802	0.13274163245231585
9	3	1.5	145	159.73	10.93421693583953	0.9110335894220927	0.9077818819257497	alcoholintake_FDR_25	neale_20153_irnt_magma	0.040465610478438975	False	0.10738914938949884	0.1406716018531191
10	3	1.5	140	158.47	10.660633189449864	0.9584114909070954	0.8834479712248375	alcoholintake_FDR_25	neale_4104_irnt_magma	0.018447987935119665	False	0.10291596071815323	0.13417760209706064
11	3	1.5	208	146.01	10.110880278195365	4.365896309572445e-10	1.4245599616464626	alcoholintake_FDR_25	GSCAN_DPW_magma	9.359926583037156	True	0.17024316212665536	0.22371320927322524
