	Gene Name	Gene Id	P‑Value SKATO	P‑Value Burden	P‑Value SKAT	BETA Burden	Burden Set	Chrom : Position	Chrom	Position	burden_FDR	skato_FDR	skat_FDR
0	ANKH	ENSG00000154122	2.32384000931063e-10	0.0002012831768396	1.56138943072384e-10	-0.0077797169954949	missense|LC	5014711150.0	5	14711150.0	0.5414508508191372	5.26848916833818e-06	4.347220453021315e-06
1	FAM234A	ENSG00000167930	4.5034243972e-06	2.1487396724e-06	0.0002605619583371	-0.0075700518114523	missense|LC	16000231109.0	16	231109.0	0.0299126049794804	0.04332654800029394	0.3779625123222405
2	ZNF771	ENSG00000179965	4.6684736729e-06	9.6372314805e-06	4.7147229341e-06	0.0117394922166929	missense|LC	16030408021.0	16	30408021.0	0.07666279968002314	0.04332654800029394	0.08751154395414147
3	GCK	ENSG00000106633	6.7875442611e-06	2.8637075181e-06	0.0014955000798874	0.03345323358351	missense|LC	7044139451.0	7	44139451.0	0.03189253788757608	0.05399394494787034	0.5372628560814551
4	HNF4A	ENSG00000101076	2.3549320448e-05	0.0002184675780867	7.44900089477e-05	0.0191996687482927	missense|LC	20044401246.0	20	44401246.0	0.5414508508191372	0.1311320359826432	0.27880790242755676
5	PSMB9	ENSG00000240065	3.52931988496e-05	0.00401152043177	2.95141498684e-05	0.007056555270137	missense|LC	6032849195.0	6	32849195.0	0.8461269080404572	0.16377220706176057	0.23478084589599793
6	SLC44A4	ENSG00000204385	4.25478988793e-05	0.0955417705992835	2.5367231079e-05	0.0026936775317107	missense|LC	6031859644.0	6	31859644.0	0.9849237731580159	0.17851529814508482	0.23478084589599793
7	MAP3K15	ENSG00000180815	6.9394695339e-05	5.94960554258e-05	0.0010469795559646	-0.0041320851322726	missense|LC	23019355683.0	X	19355683.0	0.2889166784309505	0.21675235141342689	0.5094527224776664
8	CTTN	ENSG00000085733	7.18842811772e-05	4.37458546275e-05	0.0149478163006762	-0.007836574814214	missense|LC	11070407238.0	11	70407238.0	0.26926886304728526	0.21675235141342689	0.77722388961875
9	CASC3	ENSG00000108349	9.29248084508e-05	6.22620526753e-05	0.0381185571368077	0.0085720805503927	missense|LC	17040140478.0	17	40140478.0	0.2889166784309505	0.21675235141342689	0.8502133842961108
10	BAG2	ENSG00000112208	9.4005519579e-05	0.000764167480334	0.0001370141310984	0.0246363188257963	missense|LC	6057168386.0	6	57168386.0	0.6452572778266179	0.21675235141342689	0.30517979504333226
11	NELFE	ENSG00000204356	0.0001000552355142	0.0008657824329582	7.80946890202e-05	0.0069605896869556	missense|LC	6031947099.0	6	31947099.0	0.6452572778266179	0.21675235141342689	0.27880790242755676
12	CFAP65	ENSG00000181378	0.000106513975345	0.906379924344088	4.33395640103e-05	-0.0001358287165728	missense|LC	2219002878.0	2	219002878.0	0.9941766797913881	0.21967126678188814	0.26814669803883834
13	CAPS2	ENSG00000180881	0.0001181104299652	9.56473502402e-05	0.0059707850322781	0.0085132537270916	missense|LC	12075276117.0	12	75276117.0	0.35506847005168646	0.2348878993636499	0.6943088940507208
