Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
PMP2,ENSG00000147588,0.00000315917311655145,0.00000312867878504708,0.0000131471669959637,0.0106998297330225,missense|LC,8081443370,8,81443370,
CHRNB2,ENSG00000160716,0.00000711752171067559,0.308543038965962,0.00000534699494014745,-0.00247326208485496,missense|LC,1154567952,1,154567952,
MRPL3,ENSG00000114686,0.0000273509856253407,0.00601379059186524,0.0000131554782786258,-0.00504712244492085,missense|LC,3131462645,3,131462645,
AC100868.1,ENSG00000258417,0.0000744693754638481,0.0000455393033029772,0.00235999114656416,0.00610650619304537,missense|LC,8132024433,8,132024433,
BANP,ENSG00000172530,0.000109508963955451,0.000844833984350091,0.000143491372295634,0.0202281578975748,missense|LC,16087975053,16,87975053,
FSHB,ENSG00000131808,0.000175853723437314,0.000140616627091306,0.00611189972086246,-0.0110135482331359,missense|LC,11030231817,11,30231817,
SHLD3,ENSG00000253251,0.00018134039533535,0.120479354544295,0.000111838949505394,0.00866667906964841,missense|LC,5065624099,5,65624099,
HSPB2,ENSG00000170276,0.000231482382715975,0.000485314593896335,0.000253901534212342,-0.00779840564943232,missense|LC,11111908695,11,111908695,
HSPB2-C11orf52,ENSG00000254445,0.000231482382715975,0.000485314593896335,0.000253901534212342,-0.00779840564943232,missense|LC,11111908695,11,111908695,
C9,ENSG00000113600,0.000245034169638281,0.000135553371797048,0.0302334495564831,0.00525649498472407,missense|LC,5039285152,5,39285152,
AC026786.1,ENSG00000256825,0.000279145981677331,0.074019737149648,0.000161141487878824,-0.00743837120124954,missense|LC,12133144402,12,133144402,
MARCHF3,ENSG00000173926,0.000297694765856282,0.00434787180907659,0.000278522718282326,0.0128428752719808,missense|LC,5126870558,5,126870558,
SHC3,ENSG00000148082,0.000305589935846173,0.0062371427301835,0.000214756416658912,0.00643330125259541,missense|LC,9089001100,9,89001100,
NAV2,ENSG00000166833,0.000373028297055655,0.000233489660927177,0.00524720124947264,-0.00459218485256042,missense|LC,11019713603,11,19713603,
RNF187,ENSG00000168159,0.00042637024964487,0.0533014959603599,0.000193437887294978,0.00995446960150577,missense|LC,1228486483,1,228486483,
TASOR2,ENSG00000108021,0.000468242696570975,0.115495989053232,0.000361105920072768,0.00105519366507525,missense|LC,10005699739,10,5699739,
OC90,ENSG00000253117,0.000479710191524485,0.000405829293398385,0.00295847072111344,0.00616559135661299,missense|LC,8132024433,8,132024433,
FAM169A,ENSG00000198780,0.000480589443471402,0.000244451982200022,0.0214407545731249,0.0131782003872313,missense|LC,5074773811,5,74773811,
CERS3,ENSG00000154227,0.000493029974963366,0.00040056480993389,0.00890420261676117,0.00750422943907343,missense|LC,15100402634,15,100402634,
MDP1,ENSG00000213920,0.000557158794192936,0.000284833555281194,0.0814991065339987,0.0205686717766401,missense|LC,14024209803,14,24209803,
CIITA,ENSG00000179583,0.00056801503914039,0.591324881199523,0.000337891204742258,0.000768663031716474,missense|LC,16010877262,16,10877262,
