GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	728532	749137	6	2	361193	0.2831	0.38855	AL669831.1
ENSG00000269308	1	808043	829983	31	16	361193	1.6488	0.049598	AL645608.2
ENSG00000187634	1	850260	889955	146	39	361193	1.5066	0.065957	SAMD11
ENSG00000268179	1	851264	876445	101	27	361193	1.7561	0.039535	AL645608.1
ENSG00000188976	1	869584	904689	123	35	361194	0.51987	0.30158	NOC2L
ENSG00000187961	1	885967	911095	109	37	361194	-0.25978	0.60248	KLHL17
ENSG00000187583	1	891877	921245	134	42	361194	0.22239	0.41201	PLEKHN1
ENSG00000187642	1	900579	927497	106	36	361194	1.1543	0.12419	C1orf170
ENSG00000188290	1	924342	945552	73	18	361194	0.6008	0.27399	HES4
ENSG00000187608	1	938803	959920	80	18	361194	0.93965	0.1737	ISG15
ENSG00000188157	1	945503	1001496	231	45	361194	0.84112	0.20014	AGRN
ENSG00000237330	1	996346	1019687	59	23	361194	-1.128	0.87035	RNF223
ENSG00000131591	1	1007198	1061741	248	22	361194	0.44931	0.32661	C1orf159
ENSG00000162571	1	1099264	1143315	249	30	361194	-0.67909	0.75146	TTLL10
ENSG00000186891	1	1128888	1152071	121	19	361194	-1.1823	0.88146	TNFRSF18
ENSG00000186827	1	1136706	1159518	130	14	361194	-1.3706	0.91475	TNFRSF4
ENSG00000078808	1	1142288	1177411	223	15	361194	-1.2018	0.88528	SDF4
ENSG00000176022	1	1157629	1180421	154	10	361194	-1.1267	0.87006	B3GALT6
ENSG00000184163	1	1167826	1192102	123	17	361194	-0.51173	0.69558	FAM132A
ENSG00000160087	1	1179289	1219265	206	27	361194	-0.12483	0.54967	UBE2J2
ENSG00000162572	1	1205816	1237409	175	30	361194	0.96832	0.16644	SCNN1D
ENSG00000131584	1	1217756	1254989	145	36	361194	1.4144	0.078625	ACAP3
ENSG00000169972	1	1233947	1257057	57	22	361194	1.0822	0.13957	PUSL1
ENSG00000127054	1	1236965	1270071	97	35	361194	0.72803	0.2333	CPSF3L
ENSG00000224051	1	1250136	1274277	77	29	361194	0.67116	0.25106	GLTPD1
ENSG00000169962	1	1256694	1280686	83	25	361194	0.89008	0.18671	TAS1R3
ENSG00000107404	1	1260656	1294730	108	26	361194	0.91009	0.18139	DVL1
ENSG00000162576	1	1278069	1307157	122	12	361194	0.1117	0.45553	MXRA8
ENSG00000175756	1	1299110	1320875	112	9	361193	0.011653	0.49535	AURKAIP1
ENSG00000221978	1	1311091	1344708	89	17	361194	0.43922	0.33025	CCNL2
ENSG00000224870	1	1324902	1347426	77	14	361194	0.86089	0.19465	RP4-758J18.2
ENSG00000242485	1	1327288	1352693	96	12	361194	1.1594	0.12315	MRPL20
ENSG00000235098	1	1343800	1367149	122	13	361194	1.672	0.047266	ANKRD65
ENSG00000205116	1	1351508	1373167	101	15	361194	1.7871	0.036959	TMEM88B
ENSG00000179403	1	1360241	1388262	112	19	361193	1.7381	0.041097	VWA1
ENSG00000215915	1	1375069	1415538	156	25	361193	2.7627	0.0028666	ATAD3C
ENSG00000160072	1	1397143	1443228	182	19	361194	2.9422	0.0016296	ATAD3B
ENSG00000197785	1	1437531	1480067	173	19	361194	2.2381	0.012606	ATAD3A
ENSG00000205090	1	1460554	1485833	105	14	361194	2.4394	0.0073552	TMEM240
ENSG00000160075	1	1467053	1520249	197	16	361193	1.9578	0.025125	SSU72
