	SYMBOL	P	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT
0	OR4F16	0.95355	1	685716	686654	1	1	117241	-1.6803
1	LOC105378580	0.66257	1	803398	805130	63	8	117241	-0.41949
2	SAMD11	0.083608	1	925741	944581	192	26	117241	1.3812
3	NOC2L	0.0059598	1	944203	959299	169	28	117241	2.5145
4	KLHL17	0.0019054	1	959952	965720	134	20	117241	2.8934
5	PLEKHN1	0.0043325	1	966497	975108	168	26	117241	2.625
6	PERM1	0.02566	1	975199	982117	163	28	117241	1.9488
7	HES4	0.053326	1	998962	1001285	103	24	117241	1.6134
8	ISG15	0.044652	1	1013467	1014540	80	15	117241	1.6991
9	AGRN	0.027788	1	1020101	1056119	276	21	117241	1.9143
10	LOC105369174	0.072779	1	1061207	1066390	144	20	117241	1.4554
11	LOC105378948	0.14119	1	1065635	1069326	132	22	117241	1.075
12	RNF223	0.37374	1	1071746	1074307	100	20	117241	0.32196
13	C1orf159	0.91325	1	1081818	1116356	287	37	117241	-1.361
14	TTLL10	0.49587	1	1173898	1197935	190	26	117241	0.010355
15	TNFRSF18	0.22083	1	1203508	1206709	100	15	117241	0.76939
16	TNFRSF4	0.23393	1	1211326	1214638	107	18	117241	0.72598
17	SDF4	0.24751	1	1216908	1232067	175	31	117241	0.68236
18	B3GALT6	0.4379	1	1232249	1235041	106	24	117241	0.1563
19	FAM132A	0.34009	1	1242446	1247218	92	20	117241	0.41222
20	UBE2J2	0.072508	1	1253912	1273854	151	26	117241	1.4574
21	SCNN1D	0.060488	1	1280415	1292029	138	18	117241	1.5507
22	ACAP3	0.080936	1	1292384	1307925	188	17	117241	1.3988
23	PUSL1	0.099936	1	1308571	1311677	141	13	117241	1.2819
24	CPSF3L	0.11354	1	1311585	1324687	149	17	117241	1.2079
25	CPTP	0.20752	1	1324756	1328896	73	14	117241	0.81507
26	TAS1R3	0.25355	1	1328999	1335320	83	15	117241	0.66336
27	DVL1	0.35755	1	1335278	1349158	121	14	117241	0.36501
28	MXRA8	0.26559	1	1352689	1363541	128	15	117241	0.6262
29	AURKAIP1	0.01078	1	1373730	1375438	65	13	117241	2.298
30	CCNL2	0.0067635	1	1385711	1399338	119	21	117241	2.4696
31	MRPL20	0.027093	1	1401896	1407834	91	15	117241	1.9253
32	ANKRD65	0.025148	1	1418420	1421820	110	11	117241	1.9574
33	TMEM88B	0.022053	1	1426128	1427787	110	12	117241	2.0131
34	VWA1	0.05332	1	1435523	1442882	109	14	117241	1.6135
35	ATAD3C	0.019008	1	1441301	1470158	194	20	117241	2.0747
36	ATAD3B	0.00037452	1	1471732	1509479	207	19	117241	3.371
37	ATAD3A	0.0074761	1	1512143	1534687	125	17	117241	2.4335
38	TMEM240	0.26596	1	1534778	1540360	67	9	117241	0.62509
39	SSU72	0.040868	1	1541673	1574882	104	14	117241	1.7407
40	C1orf233	0.0015992	1	1598008	1600096	58	8	117241	2.948
41	MIB2	0.41946	1	1614975	1630610	98	13	117241	0.20328
42	MMP23B	0.43661	1	1632181	1634654	51	6	117241	0.15957
43	CDK11B	0.25474	1	1635226	1659839	170	14	117241	0.65965
44	SLC35E2B	0.069901	1	1660025	1692804	203	23	117241	1.4765
45	CDK11A	0.17151	1	1702730	1724352	107	23	117241	0.94821
46	SLC35E2	0.2246	1	1724838	1745999	89	30	117241	0.75675
47	NADK	0.2913	1	1751232	1780514	104	23	117241	0.5496
48	GNB1	0.27395	1	1785285	1891117	457	35	117241	0.60091
49	LOC105378949	0.21456	1	1885960	1893010	148	20	117241	0.7907
50	CALML6	0.42915	1	1913752	1917294	120	11	117241	0.17854
51	TMEM52	0.37631	1	1917589	1919301	114	10	117241	0.31519
52	CFAP74	0.0036901	1	1921951	2003837	460	72	117241	2.6792
53	GABRD	0.0001069	1	2019329	2030753	179	29	117241	3.7021
54	PRKCZ	1.089e-14	1	2050470	2185395	633	57	117241	7.6397
55	LOC100506504	2.8478e-10	1	2181811	2184360	90	21	117241	6.1986
56	C1orf86	4.1096e-11	1	2184460	2212720	208	51	117241	6.4965
57	LOC105378592	8.2793e-10	1	2208942	2215211	137	46	117241	6.0284
58	SKI	0.00015759	1	2228695	2310213	600	75	117241	3.6025
59	LOC105378594	0.00038634	1	2280383	2284676	159	29	117241	3.3624
60	MORN1	0.47096	1	2321253	2391751	497	95	117241	0.07286
61	RER1	0.71708	1	2391314	2405444	190	35	117241	-0.57419
62	PEX10	0.43686	1	2404802	2413780	146	36	117241	0.15895
63	PLCH2	0.29019	1	2415782	2505530	535	57	117241	0.55284
64	PANK4	0.61798	1	2508531	2526628	215	26	117241	-0.30017
65	HES5	0.64185	1	2528745	2530245	149	14	117241	-0.36341
66	TNFRSF14	0.56198	1	2556365	2565622	119	23	117241	-0.15599
67	FAM213B	0.34619	1	2586460	2591469	51	14	117241	0.39562
68	MMEL1	0.61874	1	2590639	2633042	323	25	117241	-0.30217
69	TTC34	0.22975	1	2636988	2789665	666	58	117241	0.73967
70	ACTRT2	0.29378	1	3021482	3022903	119	22	117241	0.54238
71	PRDM16	0.34621	1	3068227	3438621	2047	191	117241	0.39556
72	ARHGEF16	0.056936	1	3454583	3481115	237	57	117241	1.581
73	MEGF6	0.01156	1	3487942	3624757	755	97	117241	2.2715
74	TPRG1L	0.57784	1	3624992	3630131	117	22	117241	-0.19638
75	WRAP73	0.37331	1	3630767	3650107	165	33	117241	0.32309
76	TP73	0.023194	1	3652565	3736201	550	46	117241	1.9918
77	CCDC27	0.0048946	1	3752398	3771645	291	19	117241	2.5832
78	SMIM1	0.0020472	1	3772761	3775982	168	21	117241	2.8708
79	LRRC47	0.0038864	1	3780220	3796504	255	31	117241	2.6618
80	CEP104	0.95015	1	3812081	3857387	195	34	117241	-1.6463
81	AJAP1	0.5828	1	4655045	4792534	1029	121	117241	-0.20906
82	NPHP4	0.4588	1	5862808	5992505	739	62	117241	0.10345
83	KCNAB2	0.48227	1	5992298	6101193	576	52	117241	0.044456
84	CHD5	0.57295	1	6101787	6180134	441	83	117241	-0.1839
85	RPL22	0.076965	1	6185020	6199619	178	28	117241	1.4258
86	RNF207	0.16542	1	6205775	6221299	188	34	117241	0.97244
87	ICMT	0.37015	1	6221193	6235984	151	24	117241	0.33145
88	HES3	0.53225	1	6244158	6245578	60	9	117241	-0.080922
89	GPR153	0.50299	1	6247346	6260990	99	21	117241	-0.0074978
90	ACOT7	0.033318	1	6264272	6393766	635	58	117241	1.8341
91	HES2	0.013315	1	6415232	6424664	150	23	117241	2.2169
92	ESPN	0.0069	1	6424776	6460944	253	22	117241	2.4624
93	TNFRSF25	0.0097716	1	6461151	6466195	129	17	117241	2.335
